status,variant_id,sku,message,error
updated,55538991300873,AUTOSKU-0000007W,SKU updated,
updated,54942064476425,AUTOSKU-0000007X,SKU updated,
updated,54942064509193,AUTOSKU-0000007Y,SKU updated,
updated,54942064541961,AUTOSKU-0000007Z,SKU updated,
updated,55538991333641,AUTOSKU-00000080,SKU updated,
updated,54942064673033,AUTOSKU-00000081,SKU updated,
updated,54942064705801,AUTOSKU-00000082,SKU updated,
updated,54942064738569,AUTOSKU-00000083,SKU updated,
updated,55538991366409,AUTOSKU-00000084,SKU updated,
updated,54941859512585,AUTOSKU-00000085,SKU updated,
updated,54941859545353,AUTOSKU-00000086,SKU updated,
updated,54941859578121,AUTOSKU-00000087,SKU updated,
updated,54941859709193,AUTOSKU-00000088,SKU updated,
updated,54941859741961,AUTOSKU-00000089,SKU updated,
updated,54941859774729,AUTOSKU-0000008A,SKU updated,
updated,54941859905801,AUTOSKU-0000008B,SKU updated,
updated,54941859938569,AUTOSKU-0000008C,SKU updated,
updated,54941859971337,AUTOSKU-0000008D,SKU updated,
updated,54941860102409,AUTOSKU-0000008E,SKU updated,
updated,54941860135177,AUTOSKU-0000008F,SKU updated,
updated,54941860167945,AUTOSKU-0000008G,SKU updated,
updated,48735593201929,9113478f738c424f,SKU updated,
updated,48735593234697,e497dc58f0374531,SKU updated,
updated,48735593267465,d22a6ba7faa84031,SKU updated,
updated,48735593300233,28ba8819fc61461f,SKU updated,
updated,48735593333001,42149efnjfsjn23i92i93,SKU updated,
updated,55196252766473,AUTOSKU-0000008H,SKU updated,
updated,55196252733705,AUTOSKU-0000008I,SKU updated,
updated,55196252700937,AUTOSKU-0000008J,SKU updated,
updated,55196252668169,AUTOSKU-0000008K,SKU updated,
updated,55196252897545,AUTOSKU-0000008L,SKU updated,
updated,55196252864777,AUTOSKU-0000008M,SKU updated,
updated,55196252832009,AUTOSKU-0000008N,SKU updated,
updated,55196252799241,AUTOSKU-0000008O,SKU updated,
updated,55196253028617,AUTOSKU-0000008P,SKU updated,
updated,55196252995849,AUTOSKU-0000008Q,SKU updated,
updated,55196252963081,AUTOSKU-0000008R,SKU updated,
updated,55196252930313,AUTOSKU-0000008S,SKU updated,
updated,55196255355145,AUTOSKU-0000008T,SKU updated,
updated,55196255322377,AUTOSKU-0000008U,SKU updated,
updated,55196255289609,AUTOSKU-0000008V,SKU updated,
updated,55196255256841,AUTOSKU-0000008W,SKU updated,
updated,55196255518985,AUTOSKU-0000008X,SKU updated,
updated,55196255486217,AUTOSKU-0000008Y,SKU updated,
updated,55196255453449,AUTOSKU-0000008Z,SKU updated,
updated,55196255420681,AUTOSKU-00000090,SKU updated,
updated,55196255650057,AUTOSKU-00000091,SKU updated,
updated,55196255617289,AUTOSKU-00000092,SKU updated,
updated,55196255584521,AUTOSKU-00000093,SKU updated,
updated,55196255551753,AUTOSKU-00000094,SKU updated,
updated,55196255781129,AUTOSKU-00000095,SKU updated,
updated,55196255748361,AUTOSKU-00000096,SKU updated,
updated,55196255715593,AUTOSKU-00000097,SKU updated,
updated,55196255682825,AUTOSKU-00000098,SKU updated,
updated,55196258238729,AUTOSKU-00000099,SKU updated,
updated,55196258271497,AUTOSKU-0000009A,SKU updated,
updated,55196258140425,AUTOSKU-0000009B,SKU updated,
updated,55196258205961,AUTOSKU-0000009C,SKU updated,
updated,55196258074889,AUTOSKU-0000009D,SKU updated,
updated,55196258107657,AUTOSKU-0000009E,SKU updated,
updated,55196258009353,AUTOSKU-0000009F,SKU updated,
updated,55196258042121,AUTOSKU-0000009G,SKU updated,
updated,55196258566409,AUTOSKU-0000009H,SKU updated,
updated,55196258599177,AUTOSKU-0000009I,SKU updated,
updated,55196258500873,AUTOSKU-0000009J,SKU updated,
updated,55196258533641,AUTOSKU-0000009K,SKU updated,
updated,55196258435337,AUTOSKU-0000009L,SKU updated,
updated,55196258468105,AUTOSKU-0000009M,SKU updated,
updated,55196258304265,AUTOSKU-0000009N,SKU updated,
updated,55196258402569,AUTOSKU-0000009O,SKU updated,
updated,55196258828553,AUTOSKU-0000009P,SKU updated,
updated,55196258861321,AUTOSKU-0000009Q,SKU updated,
updated,55196258763017,AUTOSKU-0000009R,SKU updated,
updated,55196258795785,AUTOSKU-0000009S,SKU updated,
updated,55196258697481,AUTOSKU-0000009T,SKU updated,
updated,55196258730249,AUTOSKU-0000009U,SKU updated,
updated,55196258631945,AUTOSKU-0000009V,SKU updated,
updated,55196258664713,AUTOSKU-0000009W,SKU updated,
updated,55196256403721,AUTOSKU-0000009X,SKU updated,
updated,55196256370953,AUTOSKU-0000009Y,SKU updated,
updated,55196256338185,AUTOSKU-0000009Z,SKU updated,
updated,55196256305417,AUTOSKU-000000A0,SKU updated,
updated,55196256534793,AUTOSKU-000000A1,SKU updated,
updated,55196256502025,AUTOSKU-000000A2,SKU updated,
updated,55196256469257,AUTOSKU-000000A3,SKU updated,
updated,55196256436489,AUTOSKU-000000A4,SKU updated,
updated,55196256665865,AUTOSKU-000000A5,SKU updated,
updated,55196256633097,AUTOSKU-000000A6,SKU updated,
updated,55196256600329,AUTOSKU-000000A7,SKU updated,
updated,55196256567561,AUTOSKU-000000A8,SKU updated,
updated,55196256796937,AUTOSKU-000000A9,SKU updated,
updated,55196256764169,AUTOSKU-000000AA,SKU updated,
updated,55196256731401,AUTOSKU-000000AB,SKU updated,
updated,55196256698633,AUTOSKU-000000AC,SKU updated,
updated,55196259909897,AUTOSKU-000000AD,SKU updated,
updated,55196259942665,AUTOSKU-000000AE,SKU updated,
updated,55196259778825,AUTOSKU-000000AH,SKU updated,
updated,55196259811593,AUTOSKU-000000AI,SKU updated,
updated,55196259844361,AUTOSKU-000000AF,SKU updated,
updated,55196259877129,AUTOSKU-000000AG,SKU updated,
updated,55196259713289,AUTOSKU-000000AJ,SKU updated,
updated,55196259746057,AUTOSKU-000000AK,SKU updated,
updated,55196260172041,AUTOSKU-000000AL,SKU updated,
updated,55196260204809,AUTOSKU-000000AM,SKU updated,
updated,55196260040969,AUTOSKU-000000AP,SKU updated,
updated,55196260073737,AUTOSKU-000000AQ,SKU updated,
updated,55196260106505,AUTOSKU-000000AN,SKU updated,
updated,55196260139273,AUTOSKU-000000AO,SKU updated,
updated,55196259975433,AUTOSKU-000000AR,SKU updated,
updated,55196260008201,AUTOSKU-000000AS,SKU updated,
updated,55196260434185,AUTOSKU-000000AT,SKU updated,
updated,55196260466953,AUTOSKU-000000AU,SKU updated,
updated,55196260303113,AUTOSKU-000000AX,SKU updated,
updated,55196260335881,AUTOSKU-000000AY,SKU updated,
updated,55196260368649,AUTOSKU-000000AV,SKU updated,
updated,55196260401417,AUTOSKU-000000AW,SKU updated,
updated,55196260237577,AUTOSKU-000000AZ,SKU updated,
updated,55196260270345,AUTOSKU-000000B0,SKU updated,
updated,55196261679369,AUTOSKU-000000B1,SKU updated,
updated,55196261712137,AUTOSKU-000000B2,SKU updated,
updated,55196261744905,AUTOSKU-000000B3,SKU updated,
updated,55196261581065,AUTOSKU-000000B4,SKU updated,
updated,55196261613833,AUTOSKU-000000B5,SKU updated,
updated,55196261646601,AUTOSKU-000000B6,SKU updated,
updated,55196261482761,AUTOSKU-000000B7,SKU updated,
updated,55196261515529,AUTOSKU-000000B8,SKU updated,
updated,55196261548297,AUTOSKU-000000B9,SKU updated,
updated,55196261384457,AUTOSKU-000000BA,SKU updated,
updated,55196261417225,AUTOSKU-000000BB,SKU updated,
updated,55196261449993,AUTOSKU-000000BC,SKU updated,
updated,55196262072585,AUTOSKU-000000BD,SKU updated,
updated,55196262105353,AUTOSKU-000000BE,SKU updated,
updated,55196262138121,AUTOSKU-000000BF,SKU updated,
